county_fips,county_name,state,total_confirmed_cases
1001,Autauga,Alabama,320
1003,Baldwin,Alabama,1054
1005,Barbour,Alabama,107
1007,Bibb,Alabama,196
1009,Blount,Alabama,230
1011,Bullock,Alabama,86
1013,Butler,Alabama,88
1015,Calhoun,Alabama,781
1017,Chambers,Alabama,2645
1019,Cherokee,Alabama,131
1021,Chilton,Alabama,463
1023,Choctaw,Alabama,137
1025,Clarke,Alabama,216
1027,Clay,Alabama,190
1029,Cleburne,Alabama,195
1031,Coffee,Alabama,330
1033,Colbert,Alabama,148
1035,Conecuh,Alabama,60
1037,Coosa,Alabama,213
1039,Covington,Alabama,172
1041,Crenshaw,Alabama,46
1043,Cullman,Alabama,515
1045,Dale,Alabama,108
1047,Dallas,Alabama,195
1049,DeKalb,Alabama,340
1051,Elmore,Alabama,630
1053,Escambia,Alabama,102
1055,Etowah,Alabama,931
1057,Fayette,Alabama,40
1059,Franklin,Alabama,171
1061,Geneva,Alabama,11
1063,Greene,Alabama,219
1065,Hale,Alabama,164
1067,Henry,Alabama,130
1069,Houston,Alabama,586
1071,Jackson,Alabama,388
1073,Jefferson,Alabama,10358
1075,Lamar,Alabama,100
1077,Lauderdale,Alabama,400
1079,Lawrence,Alabama,133
1081,Lee,Alabama,3612
1083,Limestone,Alabama,690
1085,Lowndes,Alabama,199
1087,Macon,Alabama,180
1089,Madison,Alabama,3289
1091,Marengo,Alabama,278
1093,Marion,Alabama,646
1095,Marshall,Alabama,1066
1097,Mobile,Alabama,5542
1099,Monroe,Alabama,97
1101,Montgomery,Alabama,1937
1103,Morgan,Alabama,661
1105,Perry,Alabama,54
1107,Pickens,Alabama,314
1109,Pike,Alabama,307
1111,Randolph,Alabama,420
1113,Russell,Alabama,296
1115,St. Clair,Alabama,679
1117,Shelby,Alabama,3564
1119,Sumter,Alabama,278
1121,Talladega,Alabama,482
1123,Tallapoosa,Alabama,1170
1125,Tuscaloosa,Alabama,1679
1127,Walker,Alabama,1294
1129,Washington,Alabama,172
1131,Wilcox,Alabama,352
1133,Winston,Alabama,75
2013,Aleutians East,Alaska,0
2016,Aleutians West,Alaska,0
2020,Anchorage,Alaska,2173
2050,Bethel,Alaska,11
2060,Bristol Bay,Alaska,0
2068,Denali,Alaska,0
2070,Dillingham,Alaska,0
2090,Fairbanks North Star,Alaska,1275
2100,Haines,Alaska,0
2105,Hoonah-Angoon,Alaska,0
2110,Juneau,Alaska,288
2122,Kenai Peninsula,Alaska,269
2130,Ketchikan Gateway,Alaska,347
2150,Kodiak Island,Alaska,2
2158,Kusilvak,Alaska,0
2164,Lake and Peninsula,Alaska,0
2170,Matanuska-Susitna,Alaska,154
2180,Nome,Alaska,3
2185,North Slope,Alaska,0
2188,Northwest Arctic,Alaska,0
2195,Petersburg,Alaska,27
2198,Prince of Wales-Hyder,Alaska,11
2220,Sitka,Alaska,0
2230,Skagway,Alaska,0
2240,Southeast Fairbanks,Alaska,15
2261,Valdez-Cordova,Alaska,0
2275,Wrangell,Alaska,0
2282,Yakutat,Alaska,0
2290,Yukon-Koyukuk,Alaska,15
4001,Apache,Arizona,1295
4003,Cochise,Arizona,213
4005,Coconino,Arizona,4427
4007,Gila,Arizona,55
4009,Graham,Arizona,65
4011,Greenlee,Arizona,26
4012,La Paz,Arizona,71
4013,Maricopa,Arizona,32081
4015,Mohave,Arizona,496
4017,Navajo,Arizona,6016
4019,Pima,Arizona,9645
4021,Pinal,Arizona,2724
4023,Santa Cruz,Arizona,140
4025,Yavapai,Arizona,1023
4027,Yuma,Arizona,325
5001,Arkansas,Arkansas,28
5003,Ashley,Arkansas,111
5005,Baxter,Arkansas,48
5007,Benton,Arkansas,996
5009,Boone,Arkansas,45
5011,Bradley,Arkansas,131
5013,Calhoun,Arkansas,0
5015,Carroll,Arkansas,25
5017,Chicot,Arkansas,72
5019,Clark,Arkansas,591
5021,Clay,Arkansas,11
5023,Cleburne,Arkansas,1558
5025,Cleveland,Arkansas,153
5027,Columbia,Arkansas,48
5029,Conway,Arkansas,57
5031,Craighead,Arkansas,490
5033,Crawford,Arkansas,49
5035,Crittenden,Arkansas,1384
5037,Cross,Arkansas,96
5039,Dallas,Arkansas,12
5041,Desha,Arkansas,99
5043,Drew,Arkansas,78
5045,Faulkner,Arkansas,1096
5047,Franklin,Arkansas,12
5049,Fulton,Arkansas,0
5051,Garland,Arkansas,1301
5053,Grant,Arkansas,140
5055,Greene,Arkansas,77
5057,Hempstead,Arkansas,50
5059,Hot Spring,Arkansas,123
5061,Howard,Arkansas,105
5063,Independence,Arkansas,111
5065,Izard,Arkansas,16
5067,Jackson,Arkansas,4
5069,Jefferson,Arkansas,1615
5071,Johnson,Arkansas,197
5073,Lafayette,Arkansas,33
